bugid,tempo_space
775072,"[('N', '0'), ('C', '0'), ('C', '0'), ('C', '0'), ('D', '2'), ('C', '3'), ('D', '22'), ('A', '25'), ('D', '33'), ('A', '33'), ('C', '34'), ('D', '34'), ('F', '35'), ('V', '35'), ('Y', '35'), ('C', '35'), ('L', '35'), ('C', '35'), ('C', '35'), ('C', '35'), ('Z', '36')]"
785903,"[('E', '0'), ('C', '1'), ('C', '4'), ('D', '5'), ('C', '6'), ('Y', '32'), ('W', '32'), ('C', '35'), ('W', '35'), ('A', '36'), ('L', '36'), ('W', '36'), ('Z', '36')]"
787274,"[('N', '0'), ('D', '1'), ('C', '1'), ('A', '3'), ('C', '4'), ('C', '4'), ('C', '4'), ('A', '4'), ('C', '13'), ('C', '14'), ('D', '27'), ('V', '32'), ('A', '32'), ('V', '33'), ('Y', '35'), ('L', '35'), ('Z', '35')]"
799902,"[('E', '0'), ('C', '0'), ('C', '0'), ('W', '0'), ('C', '5'), ('C', '13'), ('C', '23'), ('C', '28'), ('A', '28'), ('V', '34'), ('C', '34'), ('V', '34'), ('W', '35'), ('Y', '35'), ('L', '36'), ('Z', '36')]"
806746,"[('E', '0'), ('V', '35'), ('D', '35'), ('A', '35'), ('Y', '35'), ('L', '35'), ('Z', '35')]"
812736,"[('M', '0'), ('C', '35'), ('Z', '36')]"
815352,"[('E', '0'), ('D', '0'), ('W', '0'), ('D', '0'), ('A', '1'), ('C', '1'), ('C', '2'), ('C', '3'), ('C', '17'), ('C', '22'), ('P', '22'), ('C', '23'), ('V', '23'), ('C', '23'), ('V', '24'), ('W', '24'), ('V', '24'), ('Y', '24'), ('Y', '24'), ('C', '25'), ('C', '26'), ('V', '30'), ('W', '32'), ('V', '33'), ('V', '33'), ('Y', '34'), ('Y', '34'), ('L', '36'), ('Z', '36')]"
873848,"[('N', '0'), ('V', '1'), ('C', '1'), ('A', '1'), ('Y', '12'), ('V', '15'), ('C', '15'), ('V', '19'), ('V', '19'), ('Y', '25'), ('V', '26'), ('V', '30'), ('Y', '31'), ('Y', '31'), ('W', '31'), ('C', '34'), ('W', '34'), ('C', '35'), ('Z', '35')]"
887027,"[('N', '0'), ('A', '0'), ('C', '0'), ('C', '0'), ('C', '1'), ('C', '6'), ('C', '14'), ('P', '16'), ('C', '16'), ('V', '24'), ('V', '27'), ('V', '27'), ('V', '27'), ('V', '27'), ('V', '31'), ('V', '34'), ('Y', '35'), ('W', '35'), ('L', '35'), ('W', '35'), ('Z', '35')]"
918695,"[('N', '0'), ('P', '3'), ('C', '3'), ('D', '31'), ('A', '31'), ('V', '31'), ('V', '31'), ('Y', '31'), ('Y', '31'), ('L', '35'), ('Z', '35')]"
919349,"[('N', '0'), ('V', '0'), ('C', '0'), ('A', '0'), ('Y', '0'), ('P', '18'), ('C', '18'), ('P', '35'), ('L', '35'), ('Z', '35')]"
922239,"[('N', '0'), ('C', '0'), ('C', '0'), ('C', '15'), ('P', '15'), ('C', '29'), ('A', '29'), ('V', '30'), ('Y', '32'), ('L', '35'), ('Z', '35')]"
926286,"[('N', '0'), ('C', '0'), ('V', '0'), ('C', '0'), ('A', '0'), ('Y', '1'), ('W', '1'), ('L', '35'), ('W', '35'), ('Z', '35')]"
931921,"[('M', '0'), ('D', '0'), ('A', '10'), ('V', '21'), ('C', '21'), ('V', '23'), ('Y', '27'), ('V', '30'), ('Y', '31'), ('W', '35'), ('L', '35'), ('W', '35'), ('Z', '35')]"
948881,"[('M', '0'), ('C', '32'), ('A', '32'), ('V', '33'), ('C', '33'), ('V', '34'), ('C', '34'), ('Y', '34'), ('Y', '34'), ('L', '35'), ('Z', '35')]"
949217,"[('M', '0'), ('D', '0'), ('A', '0'), ('V', '0'), ('Y', '0'), ('C', '1'), ('W', '1'), ('W', '1'), ('C', '5'), ('W', '5'), ('V', '34'), ('C', '34'), ('Y', '34'), ('W', '34'), ('L', '35'), ('W', '35'), ('Z', '35')]"
983331,"[('N', '0'), ('D', '0'), ('C', '1'), ('V', '21'), ('V', '34'), ('Y', '34'), ('A', '35'), ('W', '35'), ('L', '35'), ('W', '35'), ('Z', '35')]"
1007913,"[('M', '0'), ('C', '30'), ('V', '33'), ('C', '33'), ('A', '33'), ('Y', '34'), ('Y', '34'), ('W', '34'), ('L', '35'), ('W', '35'), ('Z', '35')]"
1014046,"[('N', '0'), ('A', '30'), ('V', '33'), ('C', '33'), ('Y', '34'), ('W', '34'), ('L', '35'), ('W', '35'), ('Z', '35')]"
1036341,"[('N', '0'), ('C', '2'), ('C', '12'), ('C', '22'), ('A', '22'), ('C', '26'), ('V', '33'), ('Y', '34'), ('L', '34'), ('Z', '35')]"
1041658,"[('N', '0'), ('C', '0'), ('C', '1'), ('A', '1'), ('C', '2'), ('C', '3'), ('W', '3'), ('C', '9'), ('R', '15'), ('A', '29'), ('V', '32'), ('C', '32'), ('Y', '32'), ('L', '35'), ('Z', '35')]"
1069673,"[('N', '0'), ('A', '0'), ('V', '6'), ('C', '6'), ('V', '33'), ('Y', '34'), ('Y', '34'), ('W', '34'), ('L', '35'), ('W', '35'), ('Z', '35')]"
1079489,"[('N', '0'), ('C', '0'), ('C', '1'), ('C', '4'), ('W', '4'), ('C', '8'), ('A', '8'), ('C', '16'), ('V', '16'), ('C', '20'), ('C', '23'), ('V', '24'), ('Y', '28'), ('V', '31'), ('Y', '35'), ('Z', '35')]"
1084442,"[('N', '0'), ('C', '0'), ('C', '0'), ('C', '31'), ('A', '32'), ('C', '32'), ('V', '34'), ('V', '34'), ('Y', '34'), ('L', '35'), ('Z', '35')]"
1093730,"[('N', '0'), ('A', '31'), ('C', '34'), ('V', '34'), ('V', '34'), ('Y', '34'), ('Y', '34'), ('W', '34'), ('L', '35'), ('W', '35'), ('Z', '35')]"
1101162,"[('N', '0'), ('C', '20'), ('C', '20'), ('W', '20'), ('C', '29'), ('A', '29'), ('V', '29'), ('Y', '30'), ('W', '35'), ('L', '35'), ('W', '35'), ('Z', '35')]"
1115063,"[('N', '0'), ('C', '0'), ('C', '31'), ('A', '34'), ('V', '34'), ('Y', '34'), ('L', '35'), ('Z', '35')]"
322989,"[('M', '0'), ('Q', '0'), ('P', '0'), ('C', '7'), ('L', '20'), ('V', '21'), ('L', '21'), ('V', '27'), ('Y', '27'), ('V', '28'), ('Y', '28'), ('V', '35'), ('Y', '35'), ('C', '36'), ('S', '36'), ('H', '36'), ('Z', '36')]"
329507,"[('E', '0'), ('P', '0'), ('A', '0'), ('L', '0'), ('C', '2'), ('W', '22'), ('Z', '36')]"
336870,"[('N', '0'), ('Z', '37')]"
337038,"[('M', '0'), ('A', '0'), ('C', '0'), ('D', '3'), ('C', '17'), ('L', '23'), ('W', '24'), ('V', '25'), ('Y', '32'), ('Z', '36')]"
341340,"[('E', '0'), ('W', '0'), ('C', '0'), ('C', '0'), ('C', '0'), ('W', '7'), ('P', '7'), ('C', '8'), ('W', '8'), ('L', '15'), ('C', '22'), ('C', '24'), ('W', '28'), ('W', '31'), ('V', '32'), ('A', '32'), ('V', '36'), ('Y', '36'), ('H', '36'), ('W', '36'), ('W', '36'), ('Z', '36')]"
341407,"[('M', '0'), ('D', '0'), ('C', '0'), ('C', '0'), ('A', '1'), ('L', '17'), ('C', '28'), ('C', '29'), ('C', '35'), ('W', '35'), ('V', '36'), ('Y', '36'), ('Z', '37')]"
